county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Alameda,0,1,2,6,5,2,4,0,0,0,21,9,2015,north
Amador,2,1,14,5,1,4,5,0,0,1,9,4,2015,north
Butte,0,1,0,0,0,3,5,0,0,0,1,1,2015,north
Calaveras,2,1,32,7,13,8,21,1,0,1,26,10,2015,south
Colusa,1,0,0,2,2,0,2,0,0,0,2,0,2015,north
Contra Costa,11,2,1,8,5,0,3,0,0,0,10,3,2015,north
Del Norte,3,4,4,0,0,1,5,1,0,0,4,0,2015,north
E. San Joaquin,0,0,0,0,4,0,1,0,0,0,3,2,2015,south
E. Stanislaus,4,5,0,6,1,1,4,0,0,0,6,3,2015,south
E. Trinity,3,1,5,0,3,8,7,0,0,0,6,0,2015,north
El Dorado,9,4,50,17,19,12,35,5,0,4,38,12,2015,north
Fresno,35,3,8,12,10,20,7,0,0,1,12,7,2015,south
Glenn,0,0,0,0,0,0,2,0,0,0,1,3,2015,north
Humboldt,57,12,16,25,3,55,27,3,0,1,53,10,2015,north
Inyo,0,1,1,1,0,1,0,0,0,1,5,2,2015,south
Kings,0,0,0,0,0,0,0,0,0,0,2,0,2015,south
Lake,9,0,10,8,8,0,7,2,0,2,24,5,2015,north
Lassen,3,2,3,0,2,43,6,0,0,0,6,2,2015,north
Madera,7,2,17,7,7,1,4,4,0,0,16,9,2015,south
Mariposa,4,2,20,0,5,1,5,0,0,1,4,2,2015,south
Mendocino,6,11,42,12,5,5,14,1,2,2,25,14,2015,north
Merced,4,0,0,1,0,1,2,0,0,0,5,6,2015,south
Modoc,0,0,0,0,1,9,0,0,2,0,4,0,2015,north
Monterey,1,0,5,10,4,9,5,1,0,1,11,7,2015,south
Napa,0,3,12,9,3,2,6,0,0,0,15,1,2015,north
Nevada,12,1,28,14,7,13,13,1,0,1,25,4,2015,north
Placer,4,2,24,9,11,12,11,3,1,0,40,8,2015,north
Plumas,2,0,1,0,0,8,1,0,0,0,1,0,2015,north
Riverside,4,12,18,5,8,2,16,5,0,3,40,7,2015,south
Sacramento,1,0,1,2,1,0,3,1,0,0,4,3,2015,north
San Benito,2,0,1,3,9,1,1,0,0,0,5,2,2015,south
San Bernardino,3,9,9,0,2,3,28,4,0,0,26,3,2015,south
San Diego,0,3,16,6,9,6,17,3,0,0,47,3,2015,south
San Joaquin,0,0,0,1,1,0,1,0,0,0,2,1,2015,north
San Luis Obispo,1,10,7,11,15,7,42,1,0,1,11,28,2015,south
San Mateo,0,1,0,2,2,1,0,0,0,1,9,1,2015,north
Santa Clara,1,0,2,6,7,1,9,0,0,0,26,6,2015,north
Santa Cruz,7,2,2,8,4,0,6,0,0,1,13,3,2015,north
Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north
Sierra,0,0,0,0,0,1,0,0,0,0,0,0,2015,north
Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north
Solano,1,0,2,0,1,0,4,0,0,0,7,3,2015,north
Sonoma,2,10,28,17,13,0,25,1,0,3,30,27,2015,north
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,2015,north
Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north
Tulare,5,0,1,7,5,17,12,0,0,0,20,3,2015,south
Tuolumne,3,1,13,8,10,6,16,0,0,1,21,4,2015,south
W. San Joaquin,0,0,0,0,0,0,1,0,0,0,5,2,2015,north
W. Stanislaus,0,0,0,0,0,0,1,0,0,0,3,4,2015,north
Yolo,1,0,2,0,2,0,1,0,0,1,6,5,2015,north
Yuba,2,1,7,2,9,2,7,0,0,1,10,5,2015,north
